[dotenv@17.2.3] injecting env (7) from .env.local -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
Loading FBS + FCS allow-list from CFBD…
(node:19948) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
D1 allow-list: 265 programs (138 FBS + 127 FCS)
Loading cfb_teams from Supabase…
Teams to process: 262 (skipped 489 non-D1)
Seasons: 2010..2025 (16 per team)
Resume mode: skipping 7 teams synced in last 24h. Remaining: 255

[1/255] Akron                          | players:  781 | total: 781 | calls: 16 | ETA: ~45m   
[2/255] Alabama A&M                    | players:  371 | total: 1152 | calls: 32 | ETA: ~43m   
[3/255] Alabama State                  | players:  403 | total: 1555 | calls: 48 | ETA: ~42m   
[4/255] Alcorn State                   | players:  374 | total: 1929 | calls: 64 | ETA: ~41m   
[5/255] App State                      | players:  587 | total: 2516 | calls: 80 | ETA: ~41m   
[6/255] Arkansas-Pine Bluff            | players:  346 | total: 2862 | calls: 96 | ETA: ~41m   
[7/255] Army                           | players: 1177 | total: 4039 | calls: 112 | ETA: ~41m   
[8/255] Auburn                         | players:  793 | total: 4832 | calls: 128 | ETA: ~41m   
[9/255] Austin Peay                    | players:  399 | total: 5231 | calls: 144 | ETA: ~40m   
[10/255] Ball State                     | players:  696 | total: 5927 | calls: 160 | ETA: ~40m   
[11/255] Baylor                         | players:  671 | total: 6598 | calls: 176 | ETA: ~40m   
[12/255] Bethune-Cookman                | players:  403 | total: 7001 | calls: 192 | ETA: ~40m   
[13/255] Boise State                    | players:  666 | total: 7667 | calls: 208 | ETA: ~40m   
[14/255] Boston College                 | players:  630 | total: 8297 | calls: 224 | ETA: ~39m   
[15/255] Bowling Green                  | players:  712 | total: 9009 | calls: 240 | ETA: ~39m   
[16/255] Brown                          | players:  200 | total: 9209 | calls: 256 | ETA: ~39m   
[17/255] Bryant                         | players:  270 | total: 9479 | calls: 272 | ETA: ~39m   
[18/255] Bucknell                       | players:  227 | total: 9706 | calls: 288 | ETA: ~39m   
[19/255] Buffalo                        | players:  709 | total: 10415 | calls: 304 | ETA: ~38m   
[20/255] Butler                         | players:  204 | total: 10619 | calls: 320 | ETA: ~38m   
[21/255] BYU                            | players:  801 | total: 11420 | calls: 336 | ETA: ~38m   
[22/255] Cal Poly                       | players:  332 | total: 11752 | calls: 352 | ETA: ~38m   
[23/255] California                     | players:  740 | total: 12492 | calls: 368 | ETA: ~38m   
[24/255] Campbell                       | players:  340 | total: 12832 | calls: 384 | ETA: ~38m   
[25/255] Central Arkansas               | players:  373 | total: 13205 | calls: 400 | ETA: ~38m   
[26/255] Central Connecticut            | players:  285 | total: 13490 | calls: 416 | ETA: ~37m   
[27/255] Central Michigan               | players:  658 | total: 14148 | calls: 432 | ETA: ~37m   
[28/255] Charleston Southern            | players:  377 | total: 14525 | calls: 448 | ETA: ~37m   
[29/255] Charlotte                      | players:  643 | total: 15168 | calls: 464 | ETA: ~37m   
[30/255] Chattanooga                    | players:  313 | total: 15481 | calls: 480 | ETA: ~37m   
[31/255] Cincinnati                     | players:  731 | total: 16212 | calls: 496 | ETA: ~37m   
[32/255] Clemson                        | players:  646 | total: 16858 | calls: 512 | ETA: ~36m   
[33/255] Coastal Carolina               | players:  589 | total: 17447 | calls: 528 | ETA: ~36m   
[34/255] Colgate                        | players:  279 | total: 17726 | calls: 544 | ETA: ~36m   
[35/255] Colorado                       | players:  801 | total: 18527 | calls: 560 | ETA: ~36m   
[36/255] Colorado State                 | players:  751 | total: 19278 | calls: 576 | ETA: ~36m   
[37/255] Columbia                       | players:  207 | total: 19485 | calls: 592 | ETA: ~36m   
[38/255] Cornell                        | players:  209 | total: 19694 | calls: 608 | ETA: ~35m   
[39/255] Dartmouth                      | players:  202 | total: 19896 | calls: 624 | ETA: ~35m   
[40/255] Davidson                       | players:  186 | total: 20082 | calls: 640 | ETA: ~35m   
[41/255] Dayton                         | players:  211 | total: 20293 | calls: 656 | ETA: ~35m   
[42/255] Delaware                       | players:  309 | total: 20602 | calls: 672 | ETA: ~35m   
[43/255] Delaware State                 | players:  302 | total: 20904 | calls: 688 | ETA: ~35m   
[44/255] Drake                          | players:  232 | total: 21136 | calls: 704 | ETA: ~34m   
[45/255] Duke                           | players:  605 | total: 21741 | calls: 720 | ETA: ~34m   
[46/255] Duquesne                       | players:  299 | total: 22040 | calls: 736 | ETA: ~34m   
[47/255] East Carolina                  | players:  791 | total: 22831 | calls: 752 | ETA: ~34m   
[48/255] East Tennessee State           | players:  294 | total: 23125 | calls: 768 | ETA: ~34m   
[49/255] East Texas A&M                 | players:  226 | total: 23351 | calls: 784 | ETA: ~34m   
[50/255] Eastern Illinois               | players:  372 | total: 23723 | calls: 800 | ETA: ~33m   
[51/255] Eastern Kentucky               | players:  397 | total: 24120 | calls: 816 | ETA: ~33m   
[52/255] Eastern Michigan               | players:  762 | total: 24882 | calls: 832 | ETA: ~33m   
[53/255] Eastern Washington             | players:  329 | total: 25211 | calls: 848 | ETA: ~33m   
[54/255] Elon                           | players:  302 | total: 25513 | calls: 864 | ETA: ~33m   
[55/255] Florida A&M                    | players:  395 | total: 25908 | calls: 880 | ETA: ~33m   
[56/255] Florida Atlantic               | players:  888 | total: 26796 | calls: 896 | ETA: ~32m   
[57/255] Florida                        | players:  777 | total: 27573 | calls: 912 | ETA: ~32m   
[58/255] Florida International          | players:  738 | total: 28311 | calls: 928 | ETA: ~32m   
[59/255] Florida State                  | players:  800 | total: 29111 | calls: 944 | ETA: ~32m   
[60/255] Fordham                        | players:  293 | total: 29404 | calls: 960 | ETA: ~32m   
[61/255] Fresno State                   | players:  708 | total: 30112 | calls: 976 | ETA: ~32m   
